variable,value,attribute,type
AI_Assets,2,AI,Assets
AI_Requirements,4,AI,Requirements
CS_Assets,8,CS,Assets
CS_Requirements,37,CS,Requirements
C_Assets,1,C,Assets
C_Requirements,4,C,Requirements
ML_Assets,12,ML,Assets
ML_Requirements,32,ML,Requirements
R_Assets,4,R,Assets
R_Requirements,15,R,Requirements
SAS_Assets,2,SAS,Assets
SAS_Requirements,10,SAS,Requirements
bachelor_Assets,6,bachelor,Assets
bachelor_Requirements,26,bachelor,Requirements
bigquery_Assets,3,bigquery,Assets
cnn_Assets,1,cnn,Assets
cnn_Requirements,1,cnn,Requirements
docker_Assets,1,docker,Assets
docker_Requirements,4,docker,Requirements
graduateEducation_Requirements,33,graduateEducation,Requirements
hadoop_Assets,3,hadoop,Assets
hadoop_Requirements,19,hadoop,Requirements
java_Assets,2,java,Assets
java_Requirements,17,java,Requirements
jira_Assets,2,jira,Assets
jira_Requirements,9,jira,Requirements
master_Assets,2,master,Assets
master_Requirements,29,master,Requirements
nlp_Assets,2,nlp,Assets
nlp_Requirements,7,nlp,Requirements
phd_Assets,1,phd,Assets
phd_Requirements,11,phd,Requirements
programming_Assets,3,programming,Assets
programming_Requirements,25,programming,Requirements
python_Assets,7,python,Assets
python_Requirements,47,python,Requirements
rnn_Assets,1,rnn,Assets
rnn_Requirements,1,rnn,Requirements
scala_Assets,5,scala,Assets
scala_Requirements,14,scala,Requirements
spark_Assets,5,spark,Assets
spark_Requirements,23,spark,Requirements
sql_Assets,10,sql,Assets
sql_Requirements,54,sql,Requirements
statistics_Assets,13,statistics,Assets
statistics_Requirements,33,statistics,Requirements
tableau_Assets,6,tableau,Assets
tableau_Requirements,25,tableau,Requirements
university_Requirements,49,university,Requirements
